CHL(mg/m^3),SST(°C),salinity(ppt),salinity(PSU),Wind_Speed_ERA5(m/s),Wind_Direction_ERA5(degree north),TP(mm),STD_200Km,STD_100Km,SST_STD_12months(°C),SST_STD_6months(°C),Salinity_STD_6months,Status_TR10,delta(200-100),Next_Month_CHL,Next_Month_Status
,,,20,,,,,,,,,,,10.23547,
10.23547,25.385,16486.00971,36.48600971,1.181319017,-23.48999533,0,0.7191,0.723,1.776809914,1.527735252,79.72553056,Bloom,-0.0039,24.82153,BLOOM
24.82153,27.41,16511.74009,36.51174009,0.656307014,92.67235835,0.00012,0.5414,0.6361,1.792436027,1.518090906,65.7239103,Bloom,-0.0947,3.18327,NON_BLOOM
3.18327,26.97,16654.90865,36.65490865,1.627700656,11.78597616,0.00131,0.4302,0.4773,1.80913711,1.497723272,68.06567752,Not Bloom,-0.0471,1.75656,NON_BLOOM
1.75656,25.905,16643.33333,36.64333333,1.191029969,40.85938629,0.00006,0.4239,0.5957,1.753463784,1.481637608,69.90868556,Not Bloom,-0.1718,1.8581,NON_BLOOM
1.8581,24.14,16648.66946,36.64866946,1.473374142,71.93217643,0.00007,0.4638,0.6343,1.674223493,1.102372442,70.74293582,Not Bloom,-0.1705,3.32597,NON_BLOOM
3.32597,22.89,16610.18981,36.61018981,0.977796746,25.89220934,0.00407,0.5088,0.5991,1.775603722,1.561673782,68.0797902,Not Bloom,-0.0903,2.72583,NON_BLOOM
2.72583,23.66,16583.24583,36.58324583,2.380880682,54.15381976,0.00143,0.4639,0.4715,1.881632851,1.69984742,49.97269492,Not Bloom,-0.0076,2.11736,NON_BLOOM
2.11736,24.955,16560.7069,36.5607069,2.841580042,41.48897285,0.00209,0.5356,0.4698,1.900245415,1.37381363,35.32692943,Not Bloom,0.0658,1.78616,NON_BLOOM
1.78616,26.82,16621.19247,36.62119247,4.932278821,21.55931503,0.00001,0.6814,0.6347,1.842281006,1.334037314,31.27396925,Not Bloom,0.0467,,NON_BLOOM
,,,20,,,,,,,,,,,,
,,,20,,,,,,,,,,,1.5859,
1.5859,27.41,16501.14583,36.50114583,2.660111802,-3.893951216,0,0.4825,0.4424,1.9213817,1.998671781,43.08406288,Not Bloom,0.0401,22.6863,BLOOM
22.6863,27.95,16516.71552,36.51671552,0.775957713,-167.3821379,0,0.5764,0.8067,1.967709602,1.421301243,49.22835356,Bloom,-0.2303,2.75806,NON_BLOOM
2.75806,29.115,16626.7375,36.6267375,0.501424404,165.0515801,0.00003,0.2418,0.3216,2.096266522,0.913508195,53.14294858,Not Bloom,-0.0798,1.80171,NON_BLOOM
1.80171,28.01,16654.81034,36.65481034,1.243838889,-100.6066767,0.00133,0.2837,0.3869,2.13524914,0.685006083,58.57761842,Not Bloom,-0.1032,1.34557,NON_BLOOM
1.34557,25.675,16672.54583,36.67254583,1.449278106,-36.88936478,0.00618,0.3559,0.5639,2.142257863,1.197179846,65.28511351,Not Bloom,-0.208,1.3058,NON_BLOOM
1.3058,23.175,16688.275,36.688275,1.376438637,7.036624592,0.00757,0.5473,0.6938,2.247225566,1.952625192,74.02508956,Not Bloom,-0.1465,1.79818,NON_BLOOM
1.79818,23.05,16540.57143,36.54057143,1.489645048,42.79474461,0.00068,0.3684,0.4012,2.226250078,2.386634223,65.30351484,Not Bloom,-0.0328,3.97837,NON_BLOOM
3.97837,23.71,16532.05,36.53205,1.464176781,32.96993413,0.00193,0.3294,0.2671,2.220979944,2.380457618,61.5353713,Not Bloom,0.0623,1.76403,NON_BLOOM
1.76403,25.555,16562.07328,36.56207328,3.516109143,20.7737942,0.00046,0.5401,0.4791,2.192212028,1.75629997,64.83932156,Not Bloom,0.061,1.0596,NON_BLOOM
